40.2;0;3990.2
73.8796;0;3972.19
102.517;0;3947.08
126.878;0;3915.91
147.462;0;3879.78
164.691;0;3839.74
178.975;0;3796.74
190.723;0;3751.58
200.321;0;3704.87
208.126;0;3657.1
214.449;0;3608.59
219.56;0;3559.59
223.684;0;3510.25
227.008;0;3460.68
229.684;0;3410.97
231.838;0;3361.16
233.571;0;3311.28
234.965;0;3261.37
236.086;0;3211.42
236.988;0;3161.45
237.713;0;3111.48
238.296;0;3061.49
238.764;0;3011.5
239.141;0;2961.51
239.444;0;2911.51
239.688;0;2861.51
239.883;0;2811.52
240.041;0;2761.52
240.168;0;2711.52
240.269;0;2661.52
240.351;0;2611.52
240.417;0;2561.52
240.47;0;2511.52
240.512;0;2461.52
240.547;0;2411.52
240.574;0;2361.52
240.596;0;2311.52
240.614;0;2261.52
240.628;0;2211.52
240.64;0;2161.52
240.649;0;2111.52
240.656;0;2061.52
240.662;0;2011.52
240.667;0;1961.52
240.671;0;1911.52
240.674;0;1861.52
240.677;0;1811.52
240.679;0;1761.52
240.68;0;1711.52
240.682;0;1661.52
240.683;0;1611.52
240.683;0;1561.52
240.684;0;1511.52
240.685;0;1461.52
240.685;0;1411.52
240.685;0;1361.52
240.686;0;1311.52
240.686;0;1261.52
240.686;0;1211.52
240.686;0;1161.52
